Highlight,Book Title,Book Author,Amazon Book ID,Note,Color,Tags,Location Type,Location,Highlighted at
"China's ""Great Leap Forward"" provides us with one more example. At the end of the fifties, a transition to communism in three to five years was proclaimed: ""Three years of intense work and ten thousand years of happiness!"" In several months time in 1958, ""people's communes"" sprang up allover the countryside; communes were introduced in cities as well. According to the plan, they were to become the basic 

[252]
form of the organization of agriculture, industry, administration, schools, the army. Militarized labor armies were created. People marched to work in formation. Everyday life was being socialized, and all equipment and household goods in the commune were being consolidated. Unpaid delivery of products was initiated.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,88,2018-08-17 21:30:41+00:00
We may draw the following conclusion from our critical survey: Socialism can apparently not be reduced to familiar social categories. The very abundance of such attempts points to the futility of such an exercise.,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,85,2018-08-16 22:09:49+00:00
"""When Catholic humanity turned away from the monstrous image in which Christ was presented to them, then after many centuries of protests. ..there finally appeared, at the beginning of this century, attempts to arrange things outside God and outside Christ. Without the instincts of bees or ants that create their beehives and ant hills faultlessly and precisely, people undertook to create something like a faultless human ant hill. They rejected the formula for salvation which proceeds from God and was revealed as 'Love thy neighbor as thyself' and replaced it by practical conclusions such as 'chacun pour soi et Dieu pour tous' or by scientific axioms such as 'the struggle for existence.' Lacking the instincts of animals. ..people placed great confidence in science, forgetting that for a task like the creation of society, science was still in its infancy. Dreams appeared. The future tower of Babel became the ideal and, on the other hand, the fear of all mankind. But the visionaries were soon followed by other doctrines, 

[234]
simple and to the point, such as 'rob the rich, drown the world in blood and then everything will somehow arrange itself.' "" (1877, November, Chapter 3)",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,"Dostoevsky, The Diary of a Writer",,,order,84,2018-08-16 22:07:37+00:00
"Dostoyevsky expressed this view with particular clarity, and his comments deserve special consideration. The majority of the thinkers of the nineteenth century completely overlooked the spiritual crisis of their time, which paved the way for the triumph of socialism in our day. Dostoyevsky was one of the few who saw clearly that mankind would not follow the path of liberalism, humanism and progress, and that terrible calamities awaited it in the not too distant future. He foresaw that socialism was destined to play the central role in the future tribulations of mankind, and most of his works touch upon various aspects of the problem.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,83,2018-08-16 22:04:46+00:00
"The history of the socialist movement in Russia serves as another striking example. The appearance of revolutionary nihilist circles coincides exactly in time with the abolition of serfdom. The peasants were liberated in 1861. Chernyshevsky's ""Appeal to the Peasants of Landowners"" appeared in the same year and his ""To Young Russia,"" where the style and spirit of the new movement were formulated, appeared in 1862. Chernyshevsky and others openly explained their antipathy to the reform of 1861 by asserting that a certain improvement in the peasants' lot might turn them from the revolutionary path.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,82,2018-08-16 21:39:22+00:00
"Finally, here is how Piatakov, already expelled from the party and in disgrace, described his view of the party to his former party comrade Valentinov. Piatakov reminded him of Lenin's statement that the ""dictatorship of the proletariat is a regime implemented by the party, which relies on violence and is not bound by any law."" (From the article ""The Proletarian Revolution and the Renegade Kautsky."") Piatakov explained that the central idea here was not ""violence"" but the fact of being ""unbound by any law."" He says:

Everything that bears the imprint of human will must not and cannot be considered inviolable or tied to any insuperable law. A law is a limit, a ban, a definition of one phenomenon admissible and another inadmissible, one action possible and the other impossible. When thought holds to violence in principle and is psychologically free, unbound by any laws, limits or obstacles, then the field of possible action expands to gigantic proportions and the field of the impossible contracts to the point of zero.. ..Bolshevism is a party whose idea is to bring into life that which is considered impossible, not realizable and inadmissible. ...For the honor and happiness of being in its ranks we must sacrifice our pride and self-esteem and everything

[217]
else. Returning to the party, we put out of our heads all convictions condemned by it, even though we defended them while in opposition. ...I agree that non-Bolsheviks and the category of ordinary people in general cannot make any instantaneous change, any reversal or amputation of their convictions. ...Weare a party of men who make the impossible possible. Steeped in the idea of violence, we direct it against ourselves, and if the party demands it and if it is necessary and important for the party, we can by an act of will put out of our heads in twenty-four hours ideas that we have cherished for years. In suppressing one's convictions or tossing them aside, it is necessary to reorient oneself in the shortest possible time in such a way as to agree, inwardly, with one's whole mind. ...Is it easy to put out of mind things that only yesterday you considered to be right and which today you must consider to be false in order to be in full accord with the party? Of course not. Nevertheless, through violence directed against oneself, the necessary result is achieved. Giving up life, shooting oneself through the head, are mere trifles compared with this other manifestation of will. ...This sort of violence against the self is acutely painful, but such violence with the aim of breaking oneself so as to be in full accord with the party constitutes the essence of a truly principled Bolshevik Communist. I am familiar with objections of the following kind. The party may be absolutely mistaken, it is said, it might call black something that is clearly and indisputably white. To all those who try to foist this example on me, I say: Yes, I shall consider black something that I felt and considered to be white, since outside the party, outside accord with it, there is no life for me. (106: p. 148)",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,78,2018-08-16 21:26:23+00:00
"But with almost perverse consistency, most of the projections of Marxism have proved to be incorrect. A better percentage of correct predictions could probably have been achieved by making random guesses. Examples have been cited repeatedly, and for this reason we limit ourselves to three in order to underscore the typical and in most cases fundamental nature of the errors: the truth proved to be not merely different but in fact the opposite to that which had been predicted.

a. The national question: ""National differences and antagonistic interests among various peoples are already vanishing more and more thanks to the development of the bourgeoisie, to freedom of commerce, to the world market, to uniformity in the mode of production and in the corresponding conditions of life. The supremacy of the proletariat will accelerate the disappearance of differences."" (3: V: p. 500)

b. In particular, the Jewish question, which was to disappear as soon as financial operations and petty trade became impossible. ""The chimerical nationality of the Jew is the nationality of a merchant, in general of a man who deals with money."" (3: I: p. 382) ""An organization of society which could remove the preconditions of petty trade, and therefore the possibility of petty trade, would make Jewry impossible."" (3: I: p. 379)

c. The role of the state: ""The first act in which the state truly comes forward as a representative of the whole of society--the taking possession of the means of production in the name of society--is, at the same time, its last independent act as a state. Interference of the state in social relations becomes superfluous in one sphere after another, and then ceases of itself. The government of persons is replaced by the administration of things and the direction of the process of production. The state is not 'abolished'; it withers away."" (98: p. 285)

""With the disappearance of classes the state inevitably disappears. A society which organizes its production in a new fashion based on 

[206]
the free and equal association of producers will send the machine of the state to the place where it will then belong: the museum of antiquity, next to the spinning wheel and the bronze ax."" (3: XVI: p. 149)",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,77,2018-08-16 11:53:24+00:00
"The majority of socialist doctrines proclaim the abolition of the family. In other doctrines, as well as in certain socialist states, this proposition is not proclaimed in such radical form, but the principle appears as a de-emphasis of the role of the family, the weakening of family ties, the abolition of certain functions of the family. Again, the negative form of the principle is more common. As a positive statement about specific relationships between the sexes or between parents and children, it appears in several variants as the total obliteration of the family, communality of wives and the destruction of all ties between parent and child to the point where they may not even know each other; as an impairment and a weakening of family ties; or as the transformation of the family into a unit of the bureaucratic state subjected to its goals and control.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,72,2018-08-16 11:26:34+00:00
"To what extent is it possible to call the Inca state socialist? Without any doubt, it is much more entitled to this designation than any of the contemporary states that regard themselves as belonging to this category. Socialist principles were clearly expressed in the structure of the Inca state: the almost complete absence of private property, in particular of private land; absence of money and trade; the complete elimination of private initiative from all economic activities; detailed regulation of private life; marriage by official decree; state distribution of wives and concubines. On the other hand, we do not encounter 

[141]
either communal wives or communal upbringing of children. A wife, though given by the state to the peasant, was his alone, and children grew up in the family (if the special class of girls chosen to be ""elect"" is excluded). Nevertheless, the Inca state seems to have been one of the fullest incarnations of socialist ideals in human history.
This is indicated by the striking similarity between the Inca way of life and numerous socialist utopias, sometimes down to the smallest detail. In his work The Incas of Peru, Baudin tells that during a report on the Inca state at the Paris Academy of Sciences, a member asked whether it would not be possible to show an influence of the Incas on Thomas More's Utopia. (56: p. 165) This would have been quite impossible, of course: More's Utopia was written in 1516, while Peru was discovered by the Spaniards in 1531. The similarities are, therefore, all the more striking and show how socialist principles inevitably led to the same conclusions in the centuries-long practice of the Inca administrators and in the mind of the English philosopher.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,68,2018-08-15 12:39:37+00:00
"The complete subjugation of life to the prescriptions of the law 

[140]
and to officialdom led to extraordinary standardization: identical clothing, identical houses, identical roads. Repetition of the same descriptive details is characteristic of the old Spanish accounts. The capital city, built of identical houses made of identical block stone and divided into identical blocks, undoubtedly created the impression of a prison town. (56: p. 117)
As a result of this spirit of standardization, anything the least bit different was looked upon as dangerous and hostile, whether it was the birth of twins or the discovery of a strangely shaped rock. Such things were believed to be a manifestation of evil forces hostile to society. Events were to show that the fear of unplanned phenomena was quite justified: the huge empire proved powerless against less than two hundred Spaniards. Neither their firearms nor their horses (animals unknown to the Indians) can explain this extraordinary turn of events. The same difference in armaments was after all involved in the subjugation of the Zulus, but they were able to mount a long and successful resistance to large detachments of English forces. The reason for the collapse of the Inca empire must apparently be sought elsewhere--in the complete atrophy of individual initiative, in the ingrained habit of acting only at the direction of officials, in the spirit of stagnation and apathy.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,67,2018-08-15 12:37:53+00:00
"The laws regulating life in the Inca state relied on a sophisticated system of punishment. Penalties were severe--almost always death or torture. This is to be expected: when all life is regulated by the state, any infringement of the law is a crime against the state and, in turn, affects the very foundation of the social system. Thus a man guilty of cutting down a tree or stealing fruit in a state plantation was subject to the death penalty. Abortion was punished by death for the woman and for anyone who may have assisted her. (59: p. 173)",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,66,2018-08-15 12:14:14+00:00
"The denial of baptism for young children, common to almost all the sects, was based on their rejection in principle of the Church as a mystic union. In its place they set their own sect, admission into which was accompanied by baptism permitted solely to adults who consciously accepted its principles. Thus, in contrast to the Catholic Church, the sect was a conscious union of like-minded people.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,65,2018-07-28 06:20:10+00:00
City of the Sun by Tommaso Campanella.,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.rl,,rl,order,64,2018-07-28 06:20:09+00:00
3. The Age of Enlightenment,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,63,2018-07-28 06:20:09+00:00
Conclusion,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,62,2018-07-27 22:13:28+00:00
The Goal,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
The Goal of Socialism",,h2,order,61,2018-07-27 22:13:14+00:00
Individuality,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
Socialism and Individuality",,h2,order,60,2018-07-27 22:12:57+00:00
5. Religion,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,59,2018-07-27 22:12:09+00:00
4. Culture,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,58,2018-07-27 22:12:01+00:00
3. Family,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,57,2018-07-27 22:11:48+00:00
2. The Organization of Labor,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,56,2018-07-27 22:11:38+00:00
1. Economy,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,55,2018-07-27 22:11:31+00:00
The Embodiment of,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
The Embodiment of the Socialist Ideal",,h2,order,54,2018-07-27 22:11:03+00:00
Survey of Some Approaches,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
Survey of Some Approaches to Socialism",,h2,order,53,2018-07-27 22:10:42+00:00
4. Communality or Equality,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,52,2018-07-27 22:10:07+00:00
3. The Abolition of Religion,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,51,2018-07-27 22:10:00+00:00
2. The Abolition of the Family,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,50,2018-07-27 22:09:54+00:00
1. The Abolition of Private Property,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,49,2018-07-27 22:09:49+00:00
The Contours,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
The Contours of Socialism",,h2,order,48,2018-07-27 22:09:38+00:00
ANALYSIS,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h1
Part Three",,h1,order,47,2018-07-27 22:08:53+00:00
3. Ancient China,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,45,2018-07-27 22:08:34+00:00
2. Ancient Egypt,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,44,2018-07-27 22:08:17+00:00
1. Mesopotamia,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,43,2018-07-27 22:08:03+00:00
2. The Jesuit State in Paraguay,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,42,2018-07-27 22:07:47+00:00
Anabaptists.,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,41,2018-07-27 22:03:00+00:00
CHILIASTIC SOCIALISM,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h1
Part One",,h1,order,40,2018-07-27 22:01:35+00:00
1. The Inca Empire,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,38,2018-07-27 21:52:03+00:00
STATE SOCIALISM,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h1
Part Two",,h1,order,37,2018-07-27 21:52:03+00:00
"4. The idea of ""liberation,"" which was understood by the medieval heresies to be liberation of the spirit from the power of matter, is transformed into an appeal for liberation from the morality of contemporary society, from its social institutions and, most of all, from private property.

At first, reason is recognized to be the driving force of this liberation, but gradually its place is taken over by the people, the poor. In the world view of the participants in the ""Conspiracy of Equals,"" we can see this conception in finished form. As a result, new concrete features appear in the plan for the establishment of the ""society of the future"": terror, occupation of the apartments of the rich by the poor, confiscation of furniture, abolition of debts, etc.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,36,2018-07-27 21:52:02+00:00
"3. Socialist doctrines preserve the notion of the medieval mystics about the three stages in the historical process, as well as the scheme of the fall of mankind and its return to the original state in a more perfect form. The socialist doctrines contain the following components:

a. The myth of a primordial ""natural state"" or ""golden age,"" which was destroyed by that bearer of evil called private property.

b. A castigation of the way things are. Contemporary society is pronounced incurably depraved, unjust and meaningless, ready only to be scrapped. Only on its ruins can a new social structure be built, a structure that would guarantee people every happiness of which they are capable.

c. The prophecy of a new society built on socialist principles, a society in which all present shortcomings would disappear. This is the only path for mankind to return to the ""natural state,"" as Morelly put it: from the unconscious Golden Age to the conscious one.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,35,2018-07-27 21:52:02+00:00
"2. The Socialism of this epoch borrows the idea derived from medieval mysticism (Joachim of Flore's, for instance) that history is an immanent and orderly evolutionary process. However, the goal and the driving force invested in this process by the mystics--knowledge of God and merging with Him--is eliminated. Instead, progress is recognized as the motivating force of history, and human reason is seen as its supreme product.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,34,2018-07-27 21:52:02+00:00
"1. If in the Middle Ages and during the Reformation socialist ideas developed within movements that were religious, at least formally, utopian socialism tends to break with religious form and gradually acquire a character hostile to religion.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,33,2018-07-27 21:52:02+00:00
"It would seem that there was no contradiction when Dostoyevsky peopled his novel The Possessed with ""three and a half' nihilists incapable of making a serious disturbance in a provincial town, while at the same time predicting an imminent revolution that would carry away one hundred million lives.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.rl,,rl,order,31,2018-07-27 21:52:01+00:00
"The ideas of chiliastic socialism constituted an organic part of this outlook. The demands to abolish private property, family, state and all hierarchies in the society of the time aimed to exclude the participants of the movement from the surrounding life. This had the effect of placing them in a hostile, antagonistic relationship with the ""world.""",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,21,2018-07-26 12:12:12+00:00
"But the most far-reaching influence that the sect had was among the poor, especially among the Beghards and the Beguines--unions of celibate men and women who engaged in crafts or begging. The external, exoteric circle of participants in the sect was made up from these social elements, while the Free Spirits, those who had attained ""Godliness,"" formed a narrow, esoteric circle. The division into two categories recalls the Cathars with their chosen circle of the perfecti.

The broad masses that formed the exoteric circle of the sect were poorly informed about the radical nature of the doctrine, as numerous surviving records of the proceedings of the Inquisition make clear. The ordinary followers felt that the divinity of the Free Spirits justified their right to be spiritual guides. For this group, the most significant aspects of the doctrine were those that proclaimed the idea of communality in its most extreme form and rejected the fundamental institutions of society: private property, the family, the church and the state. It is here that we can see the sect's socialist aspects. The assertion that ""all property ought to be held in common"" is cited frequently as one of the elements of the doctrine (e.g., 15: p. 53). Appeals for sexual freedom were often directed against marriage--indeed, sexual union in marriage was considered sinful.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,11,2018-07-25 12:37:42+00:00
"In the center of the sect's ideology stood not God but man made divine, freed from the notion of his own sinfulness and made the center of the universe. As a result, Adam played a central role in their teaching, not Adam the sinner depicted in the Old Testament, but Adam the perfect man. Many of the Free Spirits referred to themselves as the ""New Adams,"" and Konrad Kanler even called himself Antichrist (""but not in the bad sense""). It seems possible to argue that here, within the confines of this relatively small sect, we encounter the first prototype 

[27]
of the humanist ideology which would later attain worldwide significance.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,10,2018-07-25 12:18:53+00:00
"Joachim was a monk and an abbot. His doctrine, as he claimed, was based partly on the study of the Holy Scriptures and partly on revelation. It is based on the view that the history of mankind involves the progressively greater comprehension of God. Joachim divided history into three epochs: the Kingdom of the Father, from Adam to Christ; the Kingdom of the Son, from Christ until 1260; and the Kingdom of the Spirit, which was to begin in 1260. The first was an age of slavish submission; the second, an age of filial obedience; while the third was to be an age of freedom. For in the words of the Apostle: ""Where the Spirit of the Lord is, there is freedom."" In this last epoch, God's people would abide in peace, freed from labor and suffering. This would be an age of the humble and the poor; people would not know the words ""thine"" and ""mine."" Monasteries would embrace the whole of mankind, and the Eternal Gospel would be read and understood in its mystical dimension. An era of perfection would be attained within the framework of earthly life and human history--and by the hand of mortal human beings. This epoch was to be preceded by terrible wars, and the Antichrist would appear. Joachim saw proof of this in the decay of the Church in his time. The Last Judgment would begin with the Church, and the Antichrist would become Pope. The elect of God, reverting to apostolic poverty, would make up the host of Christ in this struggle. They would defeat the Antichrist and unite the whole of mankind in Christianity.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,9,2018-07-25 12:09:50+00:00
"Almost everyone who has written on Plato's Republic has remarked on the ambiguous impression produced by this dialogue. Plato's scheme for the destruction of the subtlest and most profound features of human personality and the reduction of human society to the level of an ant hill evokes revulsion. And at the same time one cannot help being impressed by the almost religious impulse to sacrifice personal interests to a higher goal. Plato's entire program is founded on the denial of personality--but on the denial of egoism as well. He understood that the future of mankind is not dependent on the victory of this or that contending group in the struggle for material interests, but rather on the changes within people and on the development of new human qualities.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,8,2018-07-21 01:25:48+00:00
"Or how to reconcile the impassioned condemnation of the old order and quite justified indignation at the suffering of the poor and the oppressed with the fact that the same teachings envisage no less suffering for these oppressed masses as the lot of whole generations prior to the triumph of social justice? Thus Marx foresees fifteen, perhaps even fifty years of civil war for the proletariat, and Mao Tse-tung is ready to accept the loss of half of humanity in a nuclear war for the sake of establishing a socialist structure in the world. A call for sacrifices on this scale might sound convincing on the lips of a religious leader appealing to a truth beyond this world. But not from convinced atheists.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,7,2018-07-20 12:52:36+00:00
"In the most popular work of Marxism, the Communist Manifesto, one of the first measures of the new socialist system to be proposed is the introduction of compulsory labor. And it is predicted that this will lead to a society in which ""the free development of each will be the condition of the free development of all""!",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,6,2018-07-20 12:50:43+00:00
"Pointing out the tragic facts that so frequently have accompanied the socialist experiments of the twentieth century usually evokes the objection that an idea cannot be judged by the unsuccessful attempts at its implementation. The task of rebuilding society is so immeasurably complicated, it is said, that in the initial stages errors are inevitable; they are, however, due to the shortcomings of certain individuals or the heritage of the past; in no sense do they follow from the fine principles enunciated by the founders of the doctrine. The fact that even in the earliest declarations of socialist doctrine there are schemes which in their cruelty far exceed any real system is dismissed as insignificant. It is argued that the determining factor is real life and hardly the constructions of theoreticians or the fantasy of utopian thinkers. Life, it is said, has its own laws. It will temper and smooth out the extremes of the fanatics and create a social structure which, even if it does not quite correspond to their original plans, will be at least viable, and in any case closer to perfection than that which now exists.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,5,2018-07-20 12:47:38+00:00
"The author also convincingly demonstrates the diametrical opposition between the concepts of man held by religion and by socialism. Socialism seeks to reduce human personality to its most primitive levels and to extinguish the highest, most complex, and ""God-like"" aspects of human individuality. And even equality itself, that powerful appeal and great promise of socialists throughout the ages, turns out to signify not equality of rights, of opportunities, and of external conditions, but equality qua identity, equality seen as the movement of variety toward uniformity.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,4,2018-07-20 12:26:06+00:00
"The twentieth century marks one of the greatest upsurges in the success of socialism, and concomitantly of its repulsive practical manifestations. Yet due to the same passionate irrationality, attempts to examine these results are repelled: they are either ignored completely, or implausibly explained away in terms of certain ""Asiatic"" or ""Russian"" aberrations or the personality of a particular dictator, or else they are ascribed to ""state capitalism.""",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,2,2018-07-20 12:25:28+00:00
Foreword,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h1,,h1,order,1,2018-07-20 12:25:28+00:00
"This demand is encountered in almost all socialist doctrines. Its negative form is seen in the striving to destroy the hierarchy of the surrounding society and in calls ""to humble the proud, the rich and the powerful,"" to abolish privilege. This tendency frequently gives rise to hostility toward culture as a factor contributing to spiritual and intellectual inequality and, as a result, leads to a call for the destruction of culture itself.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,73,2018-08-16 11:29:26+00:00
"The fundamental nature of this principle is emphasized, for instance, by Marx and Engels: ""The theory of Communism may be summed up in a single sentence: 'Abolition of private property,'"" (Communist Manifesto).

This proposition, in its negative form, is inherent in all socialist doctrines without exception and is the basic feature of all socialist states. But in its positive form, as an assertion about the actual nature of property in a socialist society, it is less universal and appears in two distinct variants: the overwhelming majority of socialist doctrines proclaim the communality of property (implemented in more or less radical fashion), while socialist states (and some doctrines) are based on state property.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,71,2018-08-16 11:25:35+00:00
"We see concealed in Marx's Hegelian phraseology and Aristophanes' buffoonery almost the same program:

1. Abolition of private property.

2. Abolition of the family--i.e., communality of wives and disruption of the bonds between parents and children.

3. Purely material prosperity.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,39,2018-07-27 22:00:35+00:00
"A striking picture emerges of a movement that lasted for fifteen centuries despite persecution by the dominant Church and by secular authorities.* A precisely fixed set of religious ideas affecting the general attitude toward life was preserved virtually unchanged, often down to the smallest detail. Throughout this period, the tradition of secret ordination of bishops was unbroken; general questions of import to the movement were decided at ""synods,"" and wandering Apostles took the decrees to distant societies. On admittance to the sect, the initiates were given new names known only to their closed group. Secret signs were used (for instance, when shaking hands) so the brethren could recognize one another. Houses were also marked by secret signs so that traveling members could find accommodations with their kind. Among the sectarians it was said that you could travel from England to Rome, staying only at houses of fellow sectarians along the way. There were close ties among the national branches of the movement. Synods were attended by representatives from allover Western arId Central Europe; literature was sent from country to country. There was mutual financial assistance during times of calamity; people would stream in from other countries to help their brethren",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,20,2018-07-26 12:00:27+00:00
"In St. Gall in 1525, a uniform of coarse gray fabric and a broad gray hat were introduced as obligatory for all members of the community. All forms of participation in public life and entertainment were forbidden. Anabaptists were called ""monks without hoods."" The leaders of the Anabaptist community in Zurich preached that ""all property must be held in common and together."" These events were accompanied by strange happenings. Members of some of the groups went naked at their gatherings and, to be like children, crept around on the ground, playing. Others burned the Bible, and with shouts of ""Here! 

[36]
Here!"" beat themselves on the breast to show the place where the life-giving spirit dwells. One of them, on orders from his father, killed his brother in imitation of Christ's sacrifice. (23: p. 701)",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,,,,order,17,2018-07-25 15:59:42+00:00
Summary,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,32,2018-07-27 21:52:01+00:00
4. The First Steps,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,30,2018-07-27 12:45:13+00:00
2. The Socialist Novel,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,29,2018-07-27 12:11:36+00:00
"""The Law of Freedom"" by Gerrard Winstanley.",The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,28,2018-07-27 12:11:36+00:00
Utopia by Thomas More,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,27,2018-07-26 22:24:28+00:00
of the Philosophers,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
The Socialism of the Philosophers",,h2,order,25,2018-07-26 22:20:56+00:00
2. Chiliastic Socialism and the Ideology of the Heretical Movements,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h2,,h2,order,19,2018-07-25 16:25:05+00:00
Sects in the English Revolution of 1648.,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,18,2018-07-25 16:10:11+00:00
Taborites.,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,16,2018-07-25 12:43:54+00:00
Brethren of the Free Spirit and the Apostolic Brethren.,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,15,2018-07-25 12:43:38+00:00
Cathars.,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h3,,h3,order,14,2018-07-25 12:43:18+00:00
of Antiquity,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
The Socialism of Antiquity",,h2,order,13,2018-07-25 12:42:19+00:00
of the Heresies,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,".h2
The Socialism of the Heresies",,h2,order,12,2018-07-25 12:41:41+00:00
Preface,The Socialist Phenomenon by Igor Shafarevich,Igor Shafarevich,,.h1,,h1,order,3,2018-07-20 12:26:30+00:00
